,Colors,wavelength
0,#8300b5,400
1,#8300ba,401.5
2,#8300c0,403
3,#8200c6,404.4
4,#8100cb,405.9
5,#8000d1,407.3
6,#7f00d6,408.8
7,#7d00db,410.2
8,#7b00e1,411.7
9,#7900e6,413.1
10,#7600ec,414.6
11,#7400f1,416
12,#7000f6,417.5
13,#6d00fb,419
14,#6800ff,420.4
15,#6200ff,421.9
16,#5c00ff,423.3
17,#5500ff,424.7
18,#4f00ff,426.2
19,#4800ff,427.6
20,#4100ff,429.1
21,#3a00ff,430.5
22,#3300ff,432
23,#2c00ff,433.4
24,#2400ff,434.8
25,#1b00ff,436.3
26,#1300ff,437.7
27,#0900ff,439.1
28,#0007ff,440.6
29,#0013ff,442
30,#001eff,443.5
31,#0028ff,444.9
32,#0031ff,446.3
33,#003aff,447.8
34,#0042ff,449.2
35,#004aff,450.6
36,#0051ff,452
37,#0059ff,453.5
38,#0061ff,454.9
39,#0068ff,456.3
40,#0070ff,457.8
41,#0077ff,459.2
42,#007dff,460.6
43,#0084ff,462
44,#008bff,463.5
45,#0092ff,464.9
46,#0099ff,466.3
47,#009fff,467.7
48,#00a6ff,469.2
49,#00acff,470.6
50,#00b2ff,472
51,#00b9ff,473.4
52,#00bfff,474.8
53,#00c5ff,476.3
54,#00cbff,477.7
55,#00d1ff,479.1
56,#00d7ff,480.5
57,#00ddff,481.9
58,#00e3ff,483.3
59,#00eaff,484.8
60,#00efff,486.2
61,#00f5ff,487.6
62,#00fbff,489
63,#00fffb,490.4
64,#00ffec,491.8
65,#00ffde,493.2
66,#00ffcf,494.6
67,#00ffbf,496.1
68,#00ffaf,497.5
69,#00ff9f,498.9
70,#00ff8f,500.3
71,#00ff7e,501.7
72,#00ff6d,503.1
73,#00ff5b,504.5
74,#00ff48,505.9
75,#00ff33,507.3
76,#00ff1d,508.7
77,#01ff00,510.1
78,#0cff00,511.5
79,#15ff00,513
80,#1bff00,514.3
81,#23ff00,515.8
82,#29ff00,517.2
83,#30ff00,518.6
84,#36ff00,520
85,#3cff00,521.4
86,#41ff00,522.8
87,#47ff00,524.2
88,#4dff00,525.6
89,#52ff00,527
90,#58ff00,528.4
91,#5dff00,529.8
92,#62ff00,531.2
93,#67ff00,532.6
94,#6cff00,534
95,#71ff00,535.4
96,#76ff00,536.8
97,#7bff00,538.2
98,#80ff00,539.6
99,#85ff00,541
100,#89ff00,542.3
101,#8eff00,543.8
102,#93ff00,545.1
103,#97ff00,546.5
104,#9cff00,547.9
105,#a1ff00,549.3
106,#a5ff00,550.7
107,#aaff00,552.1
108,#aeff00,553.5
109,#b3ff00,554.9
110,#b7ff00,556.3
111,#bcff00,557.7
112,#c0ff00,559.1
113,#c4ff00,560.5
114,#c8ff00,561.8
115,#cdff00,563.2
116,#d1ff00,564.6
117,#d5ff00,566
118,#daff00,567.4
119,#deff00,568.8
120,#e2ff00,570.2
121,#e6ff00,571.6
122,#eaff00,573
123,#eeff00,574.3
124,#f2ff00,575.7
125,#f7ff00,577.1
126,#fbff00,578.5
127,#ffff00,579.9
128,#fffb00,581.3
129,#fff600,582.7
130,#fff200,584
131,#ffee00,585.4
132,#ffe900,586.8
133,#ffe500,588.2
134,#ffe000,589.6
135,#ffdc00,591
136,#ffd800,592.3
137,#ffd300,593.7
138,#ffce00,595.1
139,#ffca00,596.5
140,#ffc500,597.9
141,#ffc100,599.2
142,#ffbc00,600.6
143,#ffb700,602
144,#ffb200,603.4
145,#ffae00,604.8
146,#ffa900,606.1
147,#ffa400,607.5
148,#ff9f00,608.9
149,#ff9a00,610.3
150,#ff9600,611.6
151,#ff9100,613
152,#ff8c00,614.4
153,#ff8600,615.8
154,#ff8200,617.1
155,#ff7c00,618.5
156,#ff7700,619.9
157,#ff7200,621.3
158,#ff6d00,622.6
159,#ff6700,624
160,#ff6200,625.4
161,#ff5c00,626.8
162,#ff5700,628.1
163,#ff5100,629.5
164,#ff4b00,630.9
165,#ff4500,632.2
166,#ff3f00,633.6
167,#ff3900,635
168,#ff3300,636.3
169,#ff2c00,637.7
170,#ff2500,639.1
171,#ff1f00,640.4
172,#ff1700,641.8
173,#ff0e00,643.2
174,#ff0500,644.5
175,#ff0000,645.9
176,#ff0000,647.3
177,#ff0000,648.6
178,#ff0000,650
179,#ff0000,651.3
180,#ff0000,652.7
181,#ff0000,654.1
182,#ff0000,655.4
183,#ff0000,656.8
184,#ff0000,658.2
185,#ff0000,659.5
186,#ff0000,660.9
187,#ff0000,662.2
188,#ff0000,663.6
189,#ff0000,665
190,#ff0000,666.3
191,#ff0000,667.7
192,#ff0000,669
193,#ff0000,670.4
194,#ff0000,671.7
195,#ff0000,673.1
196,#ff0000,674.4
197,#ff0000,675.8
198,#ff0000,677.1
199,#ff0000,678.5
200,#ff0000,679.8
201,#ff0000,681.2
202,#ff0000,682.5
203,#ff0000,683.9
204,#ff0000,685.2
205,#ff0000,686.6
206,#ff0000,687.9
207,#ff0000,689.3
208,#ff0000,690.6
209,#ff0000,692
210,#ff0000,693.3
211,#ff0000,694.7
212,#ff0000,696
213,#ff0000,697.3
214,#ff0000,698.7
215,#ff0000,700
